Fx, Fy, Fz, F.Mag
0.216949,0.01248573,0.4030935,0.4579379,
0.216949,0.01248573,0.4030935,0.4579379,
0.216949,0.01248573,0.4030935,0.4579379,
0.216949,0.01248573,0.4030935,0.4579379,
0.216949,0.01248573,0.4030935,0.4579379,
0.216949,0.01248573,0.4030935,0.4579379,
0.216949,0.01248573,0.4030935,0.4579379,
0.216949,0.01248573,0.4030935,0.4579379,
0.216949,0.01248573,0.4030935,0.4579379,
0.2091536,0.01139588,0.3971662,0.4490168,
0.2091536,0.01139588,0.3971662,0.4490168,
0.2091536,0.01139588,0.3971662,0.4490168,
0.2091536,0.01139588,0.3971662,0.4490168,
0.2091536,0.01139588,0.3971662,0.4490168,
0.2091536,0.01139588,0.3971662,0.4490168,
0.2091536,0.01139588,0.3971662,0.4490168,
0.2091536,0.01139588,0.3971662,0.4490168,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.2090419,0.01398843,0.3965281,0.4484738,
0.2090419,0.01398843,0.3965281,0.4484738,
0.2090419,0.01398843,0.3965281,0.4484738,
0.2090419,0.01398843,0.3965281,0.4484738,
0.2090419,0.01398843,0.3965281,0.4484738,
0.2090419,0.01398843,0.3965281,0.4484738,
0.2090419,0.01398843,0.3965281,0.4484738,
0.2090419,0.01398843,0.3965281,0.4484738,
0.1802751,0.01142029,0.3905514,0.4303021,
0.1802751,0.01142029,0.3905514,0.4303021,
0.1802751,0.01142029,0.3905514,0.4303021,
0.1802751,0.01142029,0.3905514,0.4303021,
0.1802751,0.01142029,0.3905514,0.4303021,
0.1802751,0.01142029,0.3905514,0.4303021,
0.1802751,0.01142029,0.3905514,0.4303021,
0.1802751,0.01142029,0.3905514,0.4303021,
0.1802751,0.01142029,0.3905514,0.4303021,
0.1802751,0.01142029,0.3905514,0.4303021,
0.1802751,0.01142029,0.3905514,0.4303021,
0.1802751,0.01142029,0.3905514,0.4303021,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.1717838,0.009283129,0.3938867,0.4298169,
0.1717838,0.009283129,0.3938867,0.4298169,
0.1717838,0.009283129,0.3938867,0.4298169,
0.1837538,0.01078945,0.3871417,0.428673,
0.1837538,0.01078945,0.3871417,0.428673,
