Fx, Fy, Fz, F.Mag
-0.02176998,-0.128137,0.4042748,0.4246542,
-0.02176998,-0.128137,0.4042748,0.4246542,
-0.02176998,-0.128137,0.4042748,0.4246542,
0.07219689,0.2163862,0.4905879,0.5410285,
0.07219689,0.2163862,0.4905879,0.5410285,
0.07219689,0.2163862,0.4905879,0.5410285,
0.07219689,0.2163862,0.4905879,0.5410285,
0.07219689,0.2163862,0.4905879,0.5410285,
0.07219689,0.2163862,0.4905879,0.5410285,
0.07219689,0.2163862,0.4905879,0.5410285,
0.07219689,0.2163862,0.4905879,0.5410285,
0.04396471,0.2180484,0.4824663,0.5312737,
0.04396471,0.2180484,0.4824663,0.5312737,
0.04396471,0.2180484,0.4824663,0.5312737,
0.04396471,0.2180484,0.4824663,0.5312737,
0.04396471,0.2180484,0.4824663,0.5312737,
0.04396471,0.2180484,0.4824663,0.5312737,
0.04396471,0.2180484,0.4824663,0.5312737,
0.04396471,0.2180484,0.4824663,0.5312737,
0.04396471,0.2180484,0.4824663,0.5312737,
0.04396471,0.2180484,0.4824663,0.5312737,
0.02201888,0.2168217,0.4725115,0.5203495,
0.02201888,0.2168217,0.4725115,0.5203495,
0.02201888,0.2168217,0.4725115,0.5203495,
0.02201888,0.2168217,0.4725115,0.5203495,
0.02201888,0.2168217,0.4725115,0.5203495,
0.02201888,0.2168217,0.4725115,0.5203495,
0.02201888,0.2168217,0.4725115,0.5203495,
0.02201888,0.2168217,0.4725115,0.5203495,
0.02201888,0.2168217,0.4725115,0.5203495,
0.02201888,0.2168217,0.4725115,0.5203495,
-0.0007292593,0.2183236,0.4710245,0.5191626,
-0.0007292593,0.2183236,0.4710245,0.5191626,
-0.0007292593,0.2183236,0.4710245,0.5191626,
-0.0007292593,0.2183236,0.4710245,0.5191626,
-0.0007292593,0.2183236,0.4710245,0.5191626,
-0.0007292593,0.2183236,0.4710245,0.5191626,
-0.0007292593,0.2183236,0.4710245,0.5191626,
-0.0007292593,0.2183236,0.4710245,0.5191626,
-0.0007292593,0.2183236,0.4710245,0.5191626,
-0.01968309,0.2217016,0.4692841,0.5193906,
-0.01968309,0.2217016,0.4692841,0.5193906,
-0.01968309,0.2217016,0.4692841,0.5193906,
-0.01968309,0.2217016,0.4692841,0.5193906,
-0.01968309,0.2217016,0.4692841,0.5193906,
-0.01968309,0.2217016,0.4692841,0.5193906,
-0.01968309,0.2217016,0.4692841,0.5193906,
-0.01968309,0.2217016,0.4692841,0.5193906,
-0.01968309,0.2217016,0.4692841,0.5193906,
-0.01968309,0.2217016,0.4692841,0.5193906,
-0.01968309,0.2217016,0.4692841,0.5193906,
-0.03436138,0.2233994,0.4659949,0.5179182,
-0.03436138,0.2233994,0.4659949,0.5179182,
-0.03436138,0.2233994,0.4659949,0.5179182,
-0.03436138,0.2233994,0.4659949,0.5179182,
-0.03436138,0.2233994,0.4659949,0.5179182,
-0.03436138,0.2233994,0.4659949,0.5179182,
-0.03436138,0.2233994,0.4659949,0.5179182,
-0.03436138,0.2233994,0.4659949,0.5179182,
-0.03436138,0.2233994,0.4659949,0.5179182,
-0.03436138,0.2233994,0.4659949,0.5179182,
-0.03436138,0.2233994,0.4659949,0.5179182,
-0.04575609,0.2249121,0.4612363,0.5151873,
-0.04575609,0.2249121,0.4612363,0.5151873,
-0.04575609,0.2249121,0.4612363,0.5151873,
-0.04575609,0.2249121,0.4612363,0.5151873,
-0.04575609,0.2249121,0.4612363,0.5151873,
-0.04575609,0.2249121,0.4612363,0.5151873,
-0.04575609,0.2249121,0.4612363,0.5151873,
-0.04575609,0.2249121,0.4612363,0.5151873,
-0.04575609,0.2249121,0.4612363,0.5151873,
-0.04575609,0.2249121,0.4612363,0.5151873,
-0.05641351,0.2271552,0.4537075,0.5105217,
-0.05641351,0.2271552,0.4537075,0.5105217,
-0.05641351,0.2271552,0.4537075,0.5105217,
-0.05641351,0.2271552,0.4537075,0.5105217,
-0.05641351,0.2271552,0.4537075,0.5105217,
-0.05641351,0.2271552,0.4537075,0.5105217,
-0.05641351,0.2271552,0.4537075,0.5105217,
-0.05641351,0.2271552,0.4537075,0.5105217,
-0.05641351,0.2271552,0.4537075,0.5105217,
-0.05641351,0.2271552,0.4537075,0.5105217,
-0.07134269,0.2290395,0.4497187,0.5097017,
-0.07134269,0.2290395,0.4497187,0.5097017,
-0.07134269,0.2290395,0.4497187,0.5097017,
-0.07134269,0.2290395,0.4497187,0.5097017,
-0.07134269,0.2290395,0.4497187,0.5097017,
-0.07134269,0.2290395,0.4497187,0.5097017,
-0.07134269,0.2290395,0.4497187,0.5097017,
-0.07134269,0.2290395,0.4497187,0.5097017,
-0.07134269,0.2290395,0.4497187,0.5097017,
-0.07134269,0.2290395,0.4497187,0.5097017,
-0.07134269,0.2290395,0.4497187,0.5097017,
-0.08851142,0.2285717,0.4434327,0.5066674,
-0.08851142,0.2285717,0.4434327,0.5066674,
-0.08851142,0.2285717,0.4434327,0.5066674,
-0.08851142,0.2285717,0.4434327,0.5066674,
-0.08851142,0.2285717,0.4434327,0.5066674,
-0.08851142,0.2285717,0.4434327,0.5066674,
-0.08851142,0.2285717,0.4434327,0.5066674,
-0.1081953,0.2259004,0.4318223,0.4992071,
-0.1081953,0.2259004,0.4318223,0.4992071,
-0.1081953,0.2259004,0.4318223,0.4992071,
-0.1081953,0.2259004,0.4318223,0.4992071,
-0.1081953,0.2259004,0.4318223,0.4992071,
-0.1081953,0.2259004,0.4318223,0.4992071,
-0.1081953,0.2259004,0.4318223,0.4992071,
-0.1200055,0.2218529,0.4180906,0.4882825,
-0.1200055,0.2218529,0.4180906,0.4882825,
-0.1200055,0.2218529,0.4180906,0.4882825,
-0.1200055,0.2218529,0.4180906,0.4882825,
-0.1200055,0.2218529,0.4180906,0.4882825,
-0.1200055,0.2218529,0.4180906,0.4882825,
-0.1200055,0.2218529,0.4180906,0.4882825,
-0.1200055,0.2218529,0.4180906,0.4882825,
-0.1200055,0.2218529,0.4180906,0.4882825,
-0.1200055,0.2218529,0.4180906,0.4882825,
-0.1200055,0.2218529,0.4180906,0.4882825,
-0.1200055,0.2218529,0.4180906,0.4882825,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
-0.491771,0.1786765,0.4193694,0.6705481,
-0.491771,0.1786765,0.4193694,0.6705481,
-0.491771,0.1786765,0.4193694,0.6705481,
-0.491771,0.1786765,0.4193694,0.6705481,
-0.491771,0.1786765,0.4193694,0.6705481,
-0.4942479,0.1777318,0.4133012,0.6683468,
-0.4942479,0.1777318,0.4133012,0.6683468,
-0.4942479,0.1777318,0.4133012,0.6683468,
-0.4942479,0.1777318,0.4133012,0.6683468,
-0.4942479,0.1777318,0.4133012,0.6683468,
-0.4942479,0.1777318,0.4133012,0.6683468,
-0.4942479,0.1777318,0.4133012,0.6683468,
-0.4942479,0.1777318,0.4133012,0.6683468,
-0.4942479,0.1777318,0.4133012,0.6683468,
